Time,subjectID,TrialID,FittsLaw-Id,ButtonName,Target-X,Target-Y,Input-Method,GazeCoordinates-X,GazeCoordinates-Y,Previous-Target-X,Pervious-Target-Y,Cursor
95.34241,11,1,2.6,Panel-1-Target-1,0.5403748,1.646729,Eye-Gaze,0.5480587,1.58543,0,0,Yes
106.4439,11,1,2.6,Panel-1-Target-2,-0.3537903,1.814087,Eye-Gaze,-0.3455748,1.787526,0.5403748,1.646729,Yes
110.9452,11,1,2.6,Panel-1-Target-3,0.4385071,1.3349,Eye-Gaze,0.44263,1.277526,-0.3537903,1.814087,Yes
114.245,11,1,2.6,Panel-1-Target-4,-0.1441956,2.068604,Eye-Gaze,-0.1041534,2.042003,0.4385071,1.3349,Yes
133.007,11,1,2.6,Panel-1-Target-5,0.1668396,1.165222,Eye-Gaze,0.1346892,1.124525,-0.1441956,2.068604,Yes
175.47,11,1,2.6,Panel-1-Target-6,0.1616821,2.123627,Eye-Gaze,0.1547661,2.07399,0.1668396,1.165222,Yes
179.3417,11,1,2.6,Panel-1-Target-7,-0.146637,1.217957,Eye-Gaze,-0.1704562,1.185454,0.1616821,2.123627,Yes
181.0108,11,1,2.6,Panel-1-Target-8,0.4370117,1.960846,Eye-Gaze,0.4484294,1.93391,-0.146637,1.217957,Yes
185.5079,11,1,2.6,Panel-1-Target-9,-0.3453064,1.481628,Eye-Gaze,-0.3609375,1.457723,0.4370117,1.960846,Yes
195.3949,11,1,2.6,Panel-1-Target-1,0.5403748,1.646729,Eye-Gaze,0.5176114,1.59162,-0.3453064,1.481628,Yes
215.3406,11,1,1.2,Panel-5-Target-1,0.3756104,1.577484,Eye-Gaze,0.3288432,1.557522,0.5403748,1.646729,Yes
262.9077,11,1,1.2,Panel-5-Target-2,-0.2362671,1.719391,Eye-Gaze,-0.2387338,1.705823,0.3756104,1.577484,Yes
270.4149,11,1,1.2,Panel-5-Target-3,0.3034363,1.3349,Eye-Gaze,0.2614704,1.276273,-0.2362671,1.719391,Yes
280.3136,11,1,1.2,Panel-5-Target-4,-0.08847046,1.918884,Eye-Gaze,-0.07973762,1.842362,0.3034363,1.3349,Yes
334.3096,11,1,1.2,Panel-5-Target-5,0.1159668,1.213837,Eye-Gaze,0.08172548,1.121693,-0.08847046,1.918884,Yes
342.7228,11,1,1.2,Panel-5-Target-6,0.1213989,1.974823,Eye-Gaze,0.02611697,1.908488,0.1159668,1.213837,Yes
347.062,11,1,1.2,Panel-5-Target-7,-0.08242798,1.264496,Eye-Gaze,-0.09206939,1.181109,0.1213989,1.974823,Yes
364.4592,11,1,1.2,Panel-5-Target-8,0.3140259,1.831757,Eye-Gaze,0.2498065,1.77497,-0.08242798,1.264496,Yes
382.6818,11,1,1.2,Panel-5-Target-9,-0.2323303,1.448608,Eye-Gaze,-0.2210769,1.41211,0.3140259,1.831757,Yes
392.7561,11,1,1.2,Panel-5-Target-1,0.3756104,1.577484,Eye-Gaze,0.339908,1.717746,-0.2323303,1.448608,Yes
400.1447,11,1,1.8,Panel-3-Target-1,0.4237671,1.651306,Eye-Gaze,0.4043383,1.54958,0.3756104,1.577484,Yes
